,CPSC 120,CPSC 121,CPSC 131,CPSC 223x,CPSC 240,MATH 150A,MATH 150B,MATH 270A,MATH 270B,MATH 250A,MATH 250B,PHYS 225+225L,PHYS 226+226L,BIOL 101+101L,BIOL 151,BIOL 152,BIOL 172,CHEM 120A,CHEM 125,GEOL 101+101L,GEOL 201+201L
Cerritos College,CIS 180,CIS 280X,CIS 292,CIS 186; CIS 183,CIS 231,MATH 170,MATH 190,None,None,MATH 220,MATH 250B,PHYS 201,PHYS 202,BIOL 102,None,None,None,CHEM 111,CHEM 112,GEOL 102+102L,GEOL 101
Chaffey College,CS 1,CS 21,CS 2,CISPROG 3,CS 3,MATH 65A,MATH 65B,MATH 3,None,MATH 75,MATH 81+85,PHYS 45,PHYS 46,BIOL 1,None,None,BIOL 61,CHEM 24A,CHEM 24B,GEOL 1,GEOL 2
Citrus College,CS 111,CS 225,None,None,None,MATH 190,MATH 191,None,None,MATH 210,MATH 211+212,PHYS 201,PHYS 202,BIOL 105,None,None,BIOL 124,CHEM 111,CHEM 112,ESCI 121,ESCI 121
Coastline,None,None,None,None,None,MATH C180,MATH C185,None,None,MATH C280,MATH C285,None,None,BIOL C100+C100L,None,None,None,CHEM C180+C180L,None,GEOL C105+C105L,GEOL C185+C185L
Cypress College,CIS 211C,CSCI 123C,CSCI 133C,CIS 217C; 226C,None,MATH 150AC,MATH 150BC,None,None,MATH 250AC,MATH 250BC,PHYS 221C,PHYS 222C,BIOL 101C,None,None,None,CHEM 111AC,CHEM 112C,GEOL 100C+101C,GEOL 103C no lab
Fullerton College,None,CSCI 123F,CSCI 133F,CIS 217F; 226F; 221F,CSCI 241F,MATH 150AF,MATH 150BF,MATH 171F,MATH 172F,MATH 250AF,MATH 250BF,PHYS 221F,PHYS 222F,BIOL 101F,None,None,None,CHEM 111AF,CHEM 111BF,ESC 100F+100LF,ESC 103F no lab
Golden West College,None,CS G175,CS G189,CS G177; CS G153; CS G178,CS G242,MATH G180,MATH G185,CS G262,None,MATH G280,MATH G285,PHYS G185,PHYS G280,BIOL G100,None,None,None,CHEM G180,CHEM G185,None,GEOL G120
Irvine Valley College,CS 36,CS 37,CS 41,CS 30; CS 38; CS 39,CS 40A+40B,MATH 3A,MATH 3B,MATH 30,MATH 31,MATH 4A,MATH 24+26,PHYS 4A,PHYS 4B,BIO 1,None,None,BIO 16,CHEM 1A,CHEM 1B,GEOL 1,GEOL 2
Long Beach City College,CS 111,CS 12,CS 22,COSP 8; CS 21; COSP 216,CS 51,MATH 60,MATH 70,CS 61,None,MATH 80,MATH 84,PHYS 3A,PHYS 3B,BIO 41,None,None,BIO 1A,CHEM 1A,CHEM 1B,GEOL 2+2L,GEOL 3
Mt. San Antonio College,CSCI 110,CSCI 140,CSCI 220,CISP 11; CSCI 145; CISP 41,CSCI 150,MATH 180,MATH 181,CSCI 190,None,MATH 280,MATH 285,PHYS 4A,PHYS 4B,BIOL 1,None,None,None,CHEM 50,CHEM 51,GEOL 1,GEOL 2
Norco College,CIS 5,CIS 17A,CIS 17C,CIS 18a; CIS 18B; CIS 18C,CIS 11,MAT 1A,MAT 1B,CIS 7,None,MAT 1C,MAT 2+3,PHY 4A,PHY 4B,None,None,None,BIO 11,CHE 1A,CHE 1B,None,None
Orange Coast College,CS A150,CS A250,CS A20,CS A142; CS A170; CS A140; CS A131,CS A216,MATH A180,MATH A185,MATH A230,None,MATH A280,MATH A285,PHYS A185,PHYS A280,BIOL A100,None,None,BIOL A180,CHEM A180,CHEM A185,GEOL A105+A105L,GEOL A185+A185L
Rio Hondo College,None,None,None,CIT 116; CIT 136,None,MATH 190,MATH 191,None,None,MATH 250,MATH 260+270,PHYS 211,PHYS 213,BIOL 101,None,None,BIOL 200,CHEM 130,CHEM 140,GEOL 150+151,None
Saddleback,CS 1A,CS 1B,CS 1D,CIMP 5; CS 4A; CIM 287,CS 3A+3B,MATH 3A,MATH 3B,None,None,MATH 3C,MATH 24+26,PHYS 4A,PHYS 4B,BIO 20,None,None,None,CHEM 1A,CHEM 1B,GEOL 1,GEOL 2
Santa Ana College,CMPR 120,CMPR 121,CMPR 131,CMPR 105; 112; 213,CMPR 129,MATH 180,MATH 185,None,None,MATH 280,MATH 287,PHYS 217,PHYS 227,BIOL 109 + 109L,None,None,BIOL 211,CHEM 219,CHEM 229,GEOL 101+101L,GEOL 201 no lab
Santiago Canyon College,CMPR 120,CMPR 121,CMPR 131,CMPR 105; 112,CMPR 129,MATH 180,MATH 185,None,None,MATH 280,MATH 287,PHYS 250A,PHYS 250B,BIOL 109 + 109L,,,BIOL 211,CHEM 219,CHEM 229,ERTH 100+100L,ERTH 111
